id,name
1,Business
2,Engineering and Technical Education
3,English Language Arts
4,Family and Consumer Sciences
5,Health and Physical Education
6,Math
7,Performing Arts
8,Science
9,Social Studies
10,Special Education
11,Visual Arts
12,World Languages
13,Multidisciplinary
