id,c_id,course_name,class_name,dep_id,semesters,AP,DC,CC,NCAA,max_takes,public,description
14,7138,Interactive Media,,1,2,0,0,0,0,1,1,"<b>Interactive Media Design</b> focuses on the tools, strategies, and techniques for interactive design and emerging technologies, like web design and social media. Students will learn the basics of planning, shooting, editing and post-producing video and sound. Students will work towards a certification in Adobe Premiere Pro. Additionally, students will explore the process of integrating text, graphics, audio and video for effective communication of information."
15,4565,Computing Foundations for a Digital Age,,1,1,0,0,0,0,1,1,"Computers and the internet have revolutionized the way we access and disseminate information. As technology continues to change at an ever-increasing pace, the need for students to gain a foundational understanding of computer science is clear. Computing Foundations for a Digital Age is designed to introduce students to five major topics within computer science including computing systems, networks and the internet, data and analysis, algorithms and planning, and impacts of computing. The course introduces foundational computing concepts while exploring current events and building critical thinking, collaboration, problem solving, and other important skills that are invaluable for life in a global and technologically advancing society."
16,7154/CC,Principles of Entrepeneurship,,1,2,0,1,0,0,1,1,"<b>Principles of Entrepreneurship</b> provides an overview of what it means to be an entrepreneur. Students will learn about starting and operating a business, marketing products and services, and how to find resources to help in the development of a new venture. This course is ideal for students who are interested in small business ownership. Uses a student's own business idea as a case study to explore the fundamentals of how to develop a business start-up. Addresses funding, forecasting, marketing, competition and operations. Learners are exposed to organizations that provide mentorship such as the Small Business Administration. Students end the class with a complete business plan and pitch presentation for their beginning business idea."
17,4540,Personal Financial Responsibility,,1,1,0,0,0,0,1,1,"<b>Personal Financial Responsibility</b> addresses the identification and management of personal financial resources to meet the financial needs and wants of individuals and families, considering a broad range of economic, social, cultural, technological, environmental, and maintenance factors.<br>This course helps students build skills in financial responsibility and decision making; analyze personal standards, needs, wants, and goals; identify sources of income, saving and investing; understand banking, budgeting, record-keeping, and managing risk, insurance and credit card debt."
18,4512,Business Math,,1,1,0,0,0,0,2,1,"<b>Business Math</b> is a course designed to prepare students for roles as entrepreneurs, producers, and business leaders by developing abilities and skills that are part of any business environment. A solid understanding of math including algebra, basic geometry, statistics, and probability provides the necessary foundation for students interested in careers in business and skilled trade areas. The content includes mathematical operations related to accounting, banking and finance, marketing, and management. "
19,4518,Introduction to Business,,1,1,0,0,0,0,1,1,"Introduction to Business introduces students to the world of business, including the concepts, functions, and skills required for meeting the challenges of operating a business in the twenty-first century on a local, national, and/or international scale. The course covers business management, entrepreneurship, marketing fundamentals, and business ethics and law. The course develops business vocabulary and provides an overview of business and the role that business plays in economic, social, and political environments."
20,7352,AP Computer Science A,,1,2,1,0,0,0,1,1,"Through the Java programming language, you will cultivate a deeper understanding of the fundamentals of computer science through analyzing, writing, and testing code. You will learn to use Java and object oriented programming to create more powerful applications. This course serves as preparation for the AP Computer Science A examination."
21,4578,Information Technology Special Topics,,1,2,0,0,0,0,1,1,"<b>Information Technology Support</b> allows students to explore how computers work.  Students learn the functionality of hardware and software components as well as suggested best practices in maintenance and safety issues. Through hands-on activities and labs, students learn how to assemble and configure a computer, install operating systems and software, and troubleshoot hardware and software problems. If interested, please complete <a href='https://docs.google.com/forms/d/e/1FAIpQLScGywHvC7Tr0i4k47ksOHzu9r01HS14Mn4weZcSU4Fg7lEnKQ/viewform'>this application</a>.  "
22,7130/CC,Principles of Construction Trades,,2,2,0,1,0,0,1,1,"<u>Principles of Construction Trades</u> prepares students with the basic skills needed to continue in a construction trade field. Topics will include an introduction to the types and uses for common hand and power tools, learn the types and basic terminology associated with construction drawings, and basic safety. Additionally, students will study the roles of individuals and companies within the construction industry and reinforce mathematical and communication skills necessary to be successful in the construction field.<br><em><b>Students can earn OSHA 10 certification and NCCER Core Certification. Students can earn dual credit (both high school and 6 college credits) for this course.</b></em>"
23,7123/CC,General Carpentry,Construction Trades: General Carpentry,2,2,0,1,0,0,1,1,"Construction Trades: General Carpentry builds upon the skills learned in the Principles of Construction Trades and examines the basics of framing. This includes studying the procedures for laying out and constructing floor systems, wall systems, ceiling joists and roof framing, and basic stair layout. Additionally, students will be introduced to building envelope systems <br><em>Students will earn NCCER Carpentry Level 1 Certification ( Students must have NCCER Core certification to be eligible.)</em>."
