id,name
1,Finance and Investment
2,Business Management & Administration 
3,Marketing & Sales
4,Software Development
5,Digital Design
6,Construction Trades
7,Civil Construction
8,Engineering
9,Broadcasting
10,Culinary Arts
11,Early Childhood Education
12,Education Careers
13,"Fashion, Textiles, and Design"
14,Social and Community Services
15,Civic Arts: Band
16,Civic Arts: Choral
17,Civic Arts: Orchestra
18,Civic Arts: Theater
19,Civic Arts: Art
